Name,Address,Facilities,Avg_price_per_night,Rating
Mayhill Hotel,"Lekki Phase 2, Lagos - 12 Muritala Eletu Street, Osapa London, Lekki Phas...",RestaurantPoolGym,"₦35,000avg/night",9.3 ExcellentFrom 4 reviews
Maison Fahrenheit,"Victoria Island, Lagos - 80, Ademola Adetokunbo Street, Opposite Eko Hotel",InternetRestaurantBar,"₦54,000avg/night",7.9 Very GoodFrom 10 reviews
Golden Destiny Hotel Limited,"Ajao Estate, Lagos - 6 Awoniyi Elemo Street, Off Osolo Way Off M/M Inte...",InternetRestaurantBarGym,"₦10,000avg/night",6.5 Very GoodFrom 30 reviews
Presken Hotel @K-One Place,"Ikeja, Lagos - 23 Sogunle Street, Off Mobolaji Bank Anthony Way A...",InternetPoolBarGym,"₦15,000avg/night",6.9 Very GoodFrom 12 reviews
Austasun Place ,"Lekki Phase 1, Lagos - 4 Emmanuel Adebayo Close Off Baderinwa Alabi Stree...",PoolBarGym,"₦12,800avg/night",8.6 ExcellentFrom 4 reviews
Lavalon Hotels And Suites,"Ajah, Lagos - 11/13 Kolawole Adekunle St. (Opp Ecobank) Off Addo...",InternetRestaurantPoolBar,"₦13,000avg/night",7.5 Very GoodFrom 40 reviews
Hotel C And M,"Lekki, Lagos - 13,  Tolani Bakare Street, Abijoh Estate, Off Lekk...",InternetRestaurantBar,"₦5,000avg/night",7.0 Very GoodFrom 14 reviews
Peerage Retreat,"Victoria Island, Lagos - 1, Olabode George Street,Off Ajose Adeogun Street",RestaurantPoolBar,"₦11,000avg/night",7.3 Very GoodFrom 41 reviews
Benny Hotels ,"Festac, Lagos - Plot 641 First Avenue",InternetRestaurantPoolBarGym,"₦13,000avg/night",6.9 Very GoodFrom 23 reviews
The Hedge Suites,"Victoria Island, Lagos - 194B Jide Oki Street Off Ligali Ayorinde Street, V...",RestaurantBar,"₦20,000avg/night",7.4 Very GoodFrom 50 reviews
De Rembrandt Hotels And Suites,"Ikeja, Lagos - 172 Obafemi Awolowo Way",InternetRestaurantPoolBar,"₦36,860avg/night",7.9 Very GoodFrom 27 reviews
New Travellers Lodge ,"Iyana Ipaja, Lagos - 161, Abeokuta Express Way, Beside Access Bank, Ara...",RestaurantBar,"₦6,000avg/night",7.6 Very GoodFrom 10 reviews
Valley Front View Hotel,"Ikeja, Lagos - 7, Abiodun Close, Off Alabi Street, Off, Toyin St,...",InternetRestaurantPoolBar,"₦18,000avg/night",5.8 GoodFrom 6 reviews
Chadon Kitchen ,"Maryland, Lagos - No. 10 Tiamiyu Olushile Street, Mende ",InternetRestaurantBar,"₦11,500avg/night",6.6 Very GoodFrom 16 reviews
Annes Luxury Suite,"Victoria Island, Lagos - 243B, Muri Okunola Street, Victoria Island, Lagos",InternetRestaurantBar,"₦17,000avg/night",7.9 Very GoodFrom 15 reviews
"Esporta Suites (Formerly Dupoint 71 Place), Lekki","Lekki, Lagos - Plot 71, Admiral Ayinla Way, 3rd Ikate Round About",PoolBar,"₦19,500avg/night",6.4 Very GoodFrom 48 reviews
Glee Hotel,"Victoria Island, Lagos - 287b Akin Olugbade St, Victoria Island",InternetRestaurantPool,"₦31,500avg/night",9.1 ExcellentFrom 12 reviews
The W Hotel,"Ikeja, Lagos - 1, Oduduwa Crescent GRA, Ikeja, Lagos.",Pool,"₦20,000avg/night",7.8 Very GoodFrom 5 reviews
Sunheaven Hotel And  Resorts ,"VICTORIA ISLAND , Lagos - 191A, Adeleke Adedoyin Off Kofo Abayomi Street Vic...",RestaurantPoolBarGym,"₦25,000avg/night",8.4 ExcellentFrom 4 reviews
Cumberland Hotel,"Victoria Island, Lagos - 2/4 Adeola Odeku Street",InternetRestaurant,"₦19,720avg/night",4.9 GoodFrom 30 reviews
Famoss Guest House,"Lagos Island, Lagos - 59, Lawson Street, Off Melony Road ,Lagos Island.",Internet,"₦4,000avg/night",5.4 GoodFrom 13 reviews
Divine Fountain Hotel,"Victoria Island, Lagos - Plot 156, Prince Ade Odedina Street, Off Jide Oki ...",InternetRestaurantPoolBar,"₦11,000avg/night",7.6 Very GoodFrom 39 reviews
Presken Eden Comfort Place,"Ikeja, Lagos - 17 Alade Avenue, Behind Jabita, Ikeja",InternetBar,"₦15,500avg/night",8.1 ExcellentFrom 3 reviews
"De Santos Hotel, Lagos","Akowonjo, Lagos - 7 Shasha Road, Akowonjo Roundabout, By Dopemu Over...",InternetRestaurantPool,"₦25,000avg/night",7.8 Very GoodFrom 22 reviews
"Limeridge Hotel, Lekki","Lekki, Lagos - Plot 10, Chevron Drive",InternetRestaurantPoolBarGym,"₦22,500avg/night",7.5 Very GoodFrom 100 reviews
De Rigg Place,"Surulere, Lagos - 6, Alhaji Rafiu Shittu Street, Alaka Estate, Stadi...",InternetBar,"₦20,000avg/night",8.2 ExcellentFrom 24 reviews
7th Heaven Hotels And Suite,"Maryland, Lagos - No 11,Tunde Alabi Street,off Okey Okeke Drive, Aro...",InternetRestaurantBar,"₦9,000avg/night",6.8 Very GoodFrom 13 reviews
Grandvenice Transit Apartments,"Lagos/Ajao Estate, Lagos - 12 Fatai Irawo Street, Off International Airport R...",InternetRestaurantPoolBar,"₦17,000avg/night",6.9 Very GoodFrom 11 reviews
Atican Beach Resort Hotel,"Ajah, Lagos - Along Abraham Adesanya Estate Okun Ajah Town",InternetRestaurantBar,"₦18,000avg/night",8.0 ExcellentFrom 17 reviews
Villa Thirty Three,"Lekki Phase 1, Lagos - 33, Jay Jay Oladimeji Close, Off Freedom Way",RestaurantBar,"₦25,000avg/night",6.5 Very GoodFrom 5 reviews
"Limeridge Hotels, Ikoyi","Ikoyi, Lagos - Plot 2, Block 12, Udi Street, Osborne Estate 1",InternetRestaurantPool,"₦25,000avg/night",8.9 ExcellentFrom 9 reviews
Rollace Hotel ,"Ajao Estate, Lagos - 46 – 48 Awoniyi Elemo Street Off International A...",PoolBarGym,"₦29,600avg/night",8.8 ExcellentFrom 1 review
November 5 Hotel,"Ikeja, Lagos - 23 Ogundana Street, Off Allen Avenue, Ikeja, Lagos",RestaurantBar,"₦15,000avg/night",8.8 ExcellentFrom 9 reviews
"Landmark Hotel, Victoria Island","Victoria Island, Lagos - 7th Floor, Landmark Towers,  5B, Water Corporation...",InternetRestaurantPoolBar,"₦50,000avg/night",9.2 ExcellentFrom 7 reviews
Topaz Lodge,"Lekki Phase 1, Lagos - 9, Ichie Chris Onyekwuluje Off Abike Animashaun",InternetRestaurantBar,"₦15,000avg/night",7.2 Very GoodFrom 33 reviews
The Snug,"Yaba, Lagos - 30 Commercial Avenue, . Behind First Bank, Sabo, Y...",InternetRestaurantBar,"₦15,000avg/night",7.8 Very GoodFrom 39 reviews
Le Paris Continental Hotel,"Lekki Phase 1, Lagos - No 16a, Babatunde Dabiri Street, Off Akwuzu Street...",RestaurantPoolBarGym,"₦18,000avg/night",8.1 ExcellentFrom 36 reviews
CLASS SUITES @ ELICRIS PLACE,"Ikeja, Lagos - 17A Church Street Off Salvation Road",InternetRestaurantBar,"₦8,999avg/night",9.6 ExcellentFrom 1 review
Dublina Suites,"Festac, Lagos - 4th Avenue By G Close Festac ",RestaurantPoolBar,"₦12,000avg/night",6.3 Very GoodFrom 3 reviews
 Royal Cedars Hotels And Apartments,"Ibadan, Oyo - Valley View Inn; Plot 7, Block7, Alalubosa G.R.A I...",RestaurantPoolBarGym,"₦23,000avg/night",10.0 ExcellentFrom 1 review
The Orchard Hotel,"Ibadan, Oyo - Opposite NDLEA By Golf Club, Onireke G.R.A",InternetRestaurantBar,"₦12,000avg/night",7.0 Very GoodFrom 37 reviews
Joybam Hotel,"Ibadan, Oyo - Off Ring Road Ososami Behind Liberty Stadium Compl...",Bar,"₦6,300avg/night",7.7 Very GoodFrom 11 reviews
Ayotoz Hotel,"Ibadan, Oyo - 3 Adegbite Street, Opposite Kenny Gee Plaza, UI Ga...",RestaurantBar,"₦3,500avg/night",6.2 Very GoodFrom 13 reviews
Live Oak Suites,"Ibadan, Oyo - NO 8 Alabiamo Street Off Awolowo Avenue,Old Bodija...",RestaurantBar,"₦6,000avg/night",6.6 Very GoodFrom 26 reviews
Carlton Gate Hotel ,"Ibadan, Oyo - Quarters 860, Agodi GRA, Next To Mary Hill Convent...",InternetRestaurantPoolBarGym,"₦33,000avg/night",7.0 Very GoodFrom 32 reviews
77 Palms Hotel,"Ibadan, Oyo - No 67/68 Beside Army Officers' Mess Agodi GRA",InternetRestaurantPoolBarGym,"₦20,000avg/night",7.3 Very GoodFrom 8 reviews
SU Guest House ,"Ibadan , Oyo - Opposite Old Airport Road, Samonda, Ibadan",Internet,"₦8,500avg/night",8.4 ExcellentFrom 3 reviews
CAPITAL INN PLUS,"Ibadan, Oyo - 8-10 7th Ave, Oluyole Estate, Ring Road",RestaurantPool,"₦24,000avg/night",8.6 ExcellentFrom 4 reviews
Jaskol Hotel,"Ibadan, Oyo - Behind Phocus Factory, Araromi Layout, Felele Exte...",RestaurantBar,"₦3,000avg/night",8.2 ExcellentFrom 5 reviews
Travel House Ibadan ,"Ibadan, Oyo - Plot22A, Block X, MKO Abiola Way, Next To Access B...",RestaurantBar,"₦15,000avg/night",7.9 Very GoodFrom 59 reviews
K-Yellow Hotels And Resort,"Ibadan , Oyo - No 16-20 CAC Revival Street, Oluyole Extension, Ib...",InternetRestaurantBar,"₦6,500avg/night",9.1 ExcellentFrom 3 reviews
Premier Hotel,"Ibadan, Oyo - Mokola Hill ",InternetRestaurantBar,"₦22,500avg/night",5.9 GoodFrom 18 reviews
Kakanfo Inn And Conference Centre,"Ibadan, Oyo - 1 Nihinlola Street, Off Mobil Petrol Station, Off ...",InternetRestaurantPoolBar,"₦39,000avg/night",7.6 Very GoodFrom 12 reviews
Koltol Guest House,"Ibadan, Oyo - 13, Ajayi Oshungbekun Avenue, Along Office's Mess ...",RestaurantPoolBar,"₦12,070avg/night",7.4 Very GoodFrom 12 reviews
Owu Crown Hotel,"Ibadan, Oyo - Km 2 Monatan, Iwo Road, Ibadan.",InternetRestaurantPoolBarGym,"₦30,000avg/night",7.8 Very GoodFrom 14 reviews
Golden Tulip Ibadan,"Ibadan, Oyo - Quarter 781, G.R.A, Jericho, Ibadan",InternetRestaurantBar,"₦60,000avg/night",9.5 ExcellentFrom 6 reviews
Carlton Gate Xclusive,"Ibadan, Oyo - 853 Beside Senior Citizen Club Secretariat Road",RestaurantPool,"₦33,000avg/night",6.0 Very GoodFrom 3 reviews
The House Eleven Hotel And Apartments,"Ibadan, Oyo - 11, Oladoyinbo Street, Femola Felele Area Challeng...",InternetRestaurantBar,"₦6,500avg/night",6.5 Very GoodFrom 6 reviews
Tobis Hotels And Garden,"Ibadan , Oyo - 15, Olowoyo Street, Araromi Area, Odo-ona Ibadan ",Restaurant,"₦3,500avg/night",5.8 GoodFrom 4 reviews
Check-Inn Hotels,"Ibadan, Oyo - 1 Check-Inn Close, Behind Zain Head Office, Off Se...",Bar,"₦35,000avg/night",5.1 GoodFrom 7 reviews
PEAK COURT HOTEL,"Ibadan, Oyo - 3C, Arigidi Street Off Oshuntokun Avenue Behinde H...",RestaurantBar,"₦15,000avg/night",7.3 Very GoodFrom 9 reviews
La Maison Hotel And Suite,"Ibadan, Oyo - 23 Jibowu Road, Iyaganku G.R.A Ibadan South-East",RestaurantBar,"₦15,000avg/night",7.5 Very GoodFrom 11 reviews
"SU GUEST HOUSE, AGBOWO","Ibadan, Oyo - 3 Adebayo Street, Behind Agbowo Shopping Complex I...",,"₦6,000avg/night",8.2 ExcellentFrom 7 reviews
Right Guest House,"Ibadan, Oyo - Elewi Odo Off Iwo Road Ojoo Expressway",RestaurantBar,"₦4,000avg/night",6.4 Very GoodFrom 3 reviews
Begonia Hotel,"Ilora, Oyo - Behind Compass Point Filling Station. KM 39, Ibada...",InternetRestaurantPoolBarGym,"₦20,000avg/night",8.1 ExcellentFrom 6 reviews
Super K Hotel,"Ibadan, Oyo - 1, Morgan St, Off Ring Road, Ibadan, Oyo State, By...",InternetRestaurantBar,"₦9,000avg/night",7.1 Very GoodFrom 9 reviews
TOP ONE GARDEN AND COMPANY LIMITED,"Ibadan, Oyo - Km 10,, Old Lagos Ijebu Ode Road, Opere, Opere, Ib...",,"₦5,500avg/night",6.4 Very GoodFrom 1 review
Ashosh Hotel And Suite,"Ibadan, Oyo - Ashosh 1st Avenue , Igayanku GRA",RestaurantPoolBarGym,"₦8,000avg/night",7.4 Very GoodFrom 10 reviews
Real Choice Hotel,"Ibadan, Oyo - Off UCH 2nd Gate",RestaurantBar,"₦7,250avg/night",
S L (Formerly Wysdum) Hotel And Suites,"Ibadan, Oyo - Klm 129 Lagos - Ibadan Express Way, Boluwaji Bus S...",InternetRestaurantGym,"₦5,175avg/night",7.4 Very GoodFrom 10 reviews
 Downtown Executive Inn,"Ibadan, Oyo - Alakia Isebo Road, Iyana Church, Iwo Road, Ibadan",RestaurantBar,"₦7,150avg/night",8.0 ExcellentFrom 3 reviews
His Grace Hotel ,"Ibadan, Oyo - 1 Moremi Street, Off Aare Avenue, New Bodija",InternetRestaurantBar,"₦12,000avg/night",6.3 Very GoodFrom 12 reviews
Labod Hotel,"Ibadan , Oyo - 55, Awolowo Avenue, Old Bobija Ibadan, Ibadan Nort...",Restaurant,"₦13,500avg/night",8.6 ExcellentFrom 7 reviews
Bayse One Place,"Ibadan, Oyo - Plot 14/16, Akinola Maja Street, Opp. 3SC/Shooting...",InternetRestaurantBar,"₦20,000avg/night",7.0 Very GoodFrom 7 reviews
Adis Hotels,"Ibadan, Oyo - 1, Akinsehinwa Street, Off Favos/Mr Biggs, New Bod...",InternetRestaurantBar,"₦24,500avg/night",8.5 ExcellentFrom 3 reviews
Bestway Guest House,"Ibadan, Oyo - Behind Royal Diadem College Power Line Area Off Ar...",RestaurantBar,"₦4,000avg/night",8.2 ExcellentFrom 2 reviews
Le Ville Hotel And Suites,"Ibadan, Oyo - Plot 3, Block 4, Opposite National Museum, Aleshin...",InternetRestaurantBarGym,"₦25,000avg/night",8.3 ExcellentFrom 5 reviews
Easy Reachcourt,"Ibadan, Oyo - Plot II, Block XIV, Samonda G.R.A,",PoolBar,"₦18,000avg/night",7.9 Very GoodFrom 4 reviews
Brighton Hotels And Suites,"Ibadan , Oyo - 24, Adeniji Street, Off Liberty Road, Oke Ado, Iba...",InternetRestaurantPool,"₦15,500avg/night",
Supreme Hotel And Suites,"Ibadan, Oyo - No. 2, American Quarters Behind Lister Petrol Stat...",InternetRestaurantBar,"₦10,000avg/night",4.4 GoodFrom 1 review
Travellers Mission Lodging,"Ibadan, Oyo - 2 Selia Amoke Close, Adenuga Street, Behind Method...",RestaurantBar,"₦3,500avg/night",6.4 Very GoodFrom 1 review
Motel Liberty,"Ibadan, Oyo - SW8/1546 Liberty Road,Oke-Ado.",Bar,"₦2,250avg/night",4.3 GoodFrom 3 reviews
Hotel D'Kits,"Ogbomosho, Oyo - 7-24 Chapel Close Off Lautech Under G Road",Bar,"₦8,000avg/night",9.6 ExcellentFrom 2 reviews
Immaculate Inn,"Ibadan , Oyo - No 39, Adebajo Street, Kongi, New Bodija, Ibadan",Restaurant,"₦10,000avg/night",4.4 GoodFrom 1 review
Academy Suites,"Ibadan, Oyo - Ososami Road, Near Ibadan Central Hospital, Oke-Ad...",Restaurant,"₦11,000avg/night",8.3 ExcellentFrom 20 reviews
Athree Hotel And Suites,"Ibadan, Oyo - 9 Road C Behind MFM Church Power House B/Stop,  Oj...",InternetPoolBarGym,"₦7,000avg/night",5.5 GoodFrom 8 reviews
Grand Serene Hotels,"Ibadan, Oyo - 19, Jibowu Crescent, Iyaganku, Ibadan North-West.",InternetRestaurant,"₦13,800avg/night",5.7 GoodFrom 6 reviews
Fawzy Hotel,"Ibadan, Oyo -  Block 7 Adewumi Layout, Off Akinyemi Way, Ring Ro...",InternetBar,"₦28,750avg/night",
House 3 Guest House,"Ibadan , Oyo - Plot 3, Road 6 Ireakari Estate, Oluyole Extension,...",RestaurantBar,"₦7,000avg/night",7.6 Very GoodFrom 1 review
Living Soul Garden Hotel,"Ogbomosho, Oyo - 2, Adedoja Egunbiyi Street, Off Ayoka Road, Behind...",RestaurantPoolBar,"₦6,500avg/night",
Pristine Guest Place,"Ibadan, Oyo - 3 Alalubosa GRA, Main Ave, Ibadan",,"₦15,862avg/night",3.6 FairFrom 1 review
Akinmole Guest House,"Ibadan, Oyo - New Ife Road, Opposite Alalubosa Community Grammer...",Bar,"₦2,500avg/night",7.2 Very GoodFrom 1 review
Barka Hotel,"Ibadan, Oyo -  2, Gospel Town, Arulogun, Ojoo, Ibadan",Restaurant,"₦5,000avg/night",
"Gullivers Hotel, Ibadan","Ibadan, Oyo - 43-45, Adenuga Street, Off UI-Secretariat Road, Ko...",RestaurantBar,"₦6,500avg/night",
Rofel Hotels,"Ibadan, Oyo - 15/18 Moremi Street,Off Aare,New Bodija.",InternetRestaurantBar,"₦6,615avg/night",6.4 Very GoodFrom 14 reviews
Labamba Hotel,"Ibadan, Oyo - Along Oyo-Ibadan Road, Ladigbolu, Oyo West",RestaurantBar,"₦10,350avg/night",7.2 Very GoodFrom 2 reviews
Davies Hotel Ltd,"Ibadan, Oyo - 7/8 Adeyi Avenue, Old Bodija",InternetRestaurantBar,"₦16,800avg/night",2.8 FairFrom 5 reviews
Handlers Hotel,"Ibadan, Oyo - Olubadan Avenue,",RestaurantBar,"₦5,000avg/night",8.8 ExcellentFrom 1 review
Divine Grace Suites,"Ibadan, Oyo - No.5 Ramat Junction, Apapa Road Moniya, Ibadan",RestaurantBar,"₦5,000avg/night",
Scrolab Executive Hotels,"Ibadan, Oyo - 12 Oluyole Street,  Off Imalefalaifia Street, Besi...",RestaurantBar,"₦9,000avg/night",6.2 Very GoodFrom 8 reviews
T-Exclusive Inn,"Ibadan, Oyo - C Plot 5-6 Akinloye Street, Bode Wasinmi Junction,...",RestaurantBar,"₦9,000avg/night",7.1 Very GoodFrom 3 reviews
Development Support Centre (DSC),"Ibadan, Oyo - 3, Rev Oyebode Crescent, Opposite Rotary Club Hous...",RestaurantPoolBar,"₦14,100avg/night",7.6 Very GoodFrom 2 reviews
MATAAN HOTEL ,"Ibadan, Oyo - 1, Olorunda-Abba Road, Beside Abike Group Of Schoo...",InternetRestaurantBar,"₦9,000avg/night",
SDM Tavern Hotel,"Ibadan, Oyo - Road H, House 7, Opposite UCH 2ND Gate, Behind Dia...",RestaurantPoolBar,"₦25,000avg/night",8.0 ExcellentFrom 1 review
Momak Hotel ,"Iseyin, Oyo - Ojubaba, Iseyin City",InternetRestaurantBar,"₦9,000avg/night",
Gold N Rock Hotel Nigeria Limited,"Oyo Town, Oyo - Along Ibadan-Ilorin Expressway,",,"₦5,500avg/night",8.0 ExcellentFrom 1 review
Mingles Place,"Ibadan, Oyo - Iwo Road, Agric Bus-stop, Monatan, Ibadan",InternetRestaurantPoolBar,"₦14,000avg/night",
Jubilee Conference Center,"Ibadan, Oyo - 17 Obafemi Awolowo Way, Oke Ado",InternetRestaurantBar,"₦7,475avg/night",
Ecstasy Hotel And Event Center,"Ibadan , Oyo - Opposite Rogman Baptist Church, Old Oyo Road, Alas...",Restaurant,"₦3,500avg/night",6.5 Very GoodFrom 2 reviews
O2 Apartments,"Ibadan, Oyo - 11/12 African Church Layout , Ilupeju Quarters, Of...",,"₦9,000avg/night",
Koltol Paradise Inn,"Ibadan, Oyo - Oluwokekere Road, Opposite BCOS, Bashorun",RestaurantPoolBar,"₦10,000avg/night",4.9 GoodFrom 6 reviews
Dino International Hotel,"Ibadan, Oyo - No.37 Imale Falafia, Oke Ado",Bar,"₦8,500avg/night",
The Town House Limited,"Iyaganku , Oyo - No 1 NTC Compound, Iyaganku GRA, Ibadan",InternetRestaurant,"₦19,000avg/night",7.2 Very GoodFrom 1 review
BLOSSOM LUXURY LOCATIONS,"Ibadan, Oyo - 5, Apampa Road Jericho Ibadan",Pool,"₦25,000avg/night",
DE LEGACY HOTEL ,"Ibadan, Oyo - Onileraro Bus-stop , Along U.I Ojoo Road",Bar,"₦5,000avg/night",2.8 FairFrom 1 review
Metro Hotel,"Ibadan, Oyo - 75 Ondo Street, Bodija",RestaurantBar,"₦6,000avg/night",6.2 Very GoodFrom 7 reviews
SkyBase Hotel  (Former Onireke Hotel),"Ibadan, Oyo - 13 Kudeti Avenue, Commercial Reservation, Onireke",BarGym,"₦7,000avg/night",
Haaco International Hotel,"Ibadan, Oyo - Mesi-Ogo Layout, Sawmill, Moniya ",InternetRestaurantBar,"₦4,000avg/night",2.0 FairFrom 1 review
Hammonds Court Hotel ,"Ibadan, Oyo - 42 Awolowo Avenue, Behind Oyo State Housing Corpor...",RestaurantBar,"₦11,040avg/night",3.2 FairFrom 2 reviews
SugarHouse Hotels ,"Ibadan, Oyo - 159 Polytechnic/Eleyele Expressway, U.I Post Offic...",InternetRestaurantPoolBar,"₦14,500avg/night",7.3 Very GoodFrom 1 review
BTE Suites And Civic Center,"Ibadan, Oyo - 1, Onipede Street, Beside OnileAro Filling Station...",,"₦12,500avg/night",
Benbo Games Village Hotel Limited,"Ibadan, Oyo - Benbo Hotel Road, Apata",Bar,"₦2,000avg/night",6.0 Very GoodFrom 1 review
Genesis Hotel And Suites,"Ibadan, Oyo - Beside Fire Station Bus Stop, Challenge/Molete Roa...",InternetRestaurantPoolBarGym,"₦7,140avg/night",6.7 Very GoodFrom 7 reviews
Elite Hotel,"Ibadan, Oyo - No 46a White House Bus-stop, Olosan, Off Alakia Ib...",,"₦6,000avg/night",9.6 ExcellentFrom 4 reviews
Tees Resort And Bar,"Ilora, Oyo - Opposite PHCN Power Control Office, Ilora Road",InternetRestaurantBar,"₦7,000avg/night",8.0 ExcellentFrom 2 reviews
Parkway Hotel,"Ibadan, Oyo - 20 Ademiluyi Close, Kongi New Bodija",Bar,"₦2,500avg/night",1.0 From 1 review
Hill Top Tavern Hotel,"Ibadan , Oyo - Polythenic Road, Ladoke Akintola Way, Sango, Ibada...",Restaurant,"₦6,000avg/night",7.5 Very GoodFrom 6 reviews
Ring Road Continential Suites,"Ibadan , Oyo - 4, Olayemi Street, Joyce B, Ring Road, Ibadan Sout...",Restaurant,"₦3,500avg/night",
Lafia Hotel ,"Ibadan , Oyo - 1, Moore Plantation Way, Apata, Ibadan North, Oyo,...",RestaurantPoolBarGym,"₦8,000avg/night",
Mahogany Hotel And Suites,"Ibadan, Oyo - 4 REMI ALABI STREET, BY ALL SAINT'S CHURCH, JERICH...",RestaurantPoolBarGym,"₦36,000avg/night",7.9 Very GoodFrom 3 reviews
Hail Henrietta Hotel (Tripple H),"Ibadan, Oyo - Plot E Block XXI,  New Ife Road",Restaurant,"₦7,350avg/night",
K S Motels Limited,"Ibadan, Oyo - Queen Elizabeth II Road,Orita-Mefa P.O Box 2084",RestaurantBar,"₦8,000avg/night",6.1 Very GoodFrom 5 reviews
Midetel Hotel,"Ibadan, Oyo - No 10 Omotara Street, Agbowo, University Of Ibadan...",InternetBar,"₦7,575avg/night",
Treasure Palace Hotel ,"Ogbomosho, Oyo - Temidire Atoyebi Area, Before Ayegun College, Ogbo...",InternetRestaurantBar,"₦5,500avg/night",
Adesh Hotel,"Ilora, Oyo - Oyo-Daade, Geddu/Oroki Road, Ilora, Nigeria",RestaurantBar,"₦4,212avg/night",
Camp Zion Suites And Events Ext. 2,"Ogbomosho, Oyo - Aroje, Ogbomosho, Ogbomosho",,"₦3,500avg/night",5.6 GoodFrom 1 review
Borem Inn,"Ibadan, Oyo - 13 Adebiyi Street, Joyce B Road, Off Ring Road",InternetRestaurantBar,"₦13,000avg/night",6.9 Very GoodFrom 4 reviews
Black Gold Guest House ,"Ibadan , Oyo - Bello Layout Felele, Ibadan, Behinde Omo-Gafo Even...",,"₦3,500avg/night",
Ladalob Royal Suites,"Ibadan, Oyo - 9 Obe Street, Behind Bovas Filling Station,New Bod...",InternetRestaurantPoolBarGym,"₦14,000avg/night",7.7 Very GoodFrom 6 reviews
De-vine International Hotel And Towers Nigeria ,"Ibadan, Oyo - KM 4 Abeokuta Road Apata",RestaurantBar,"₦8,000avg/night",2.4 FairFrom 2 reviews
Alexander Int'l Hotel ,"Ologuneru, Oyo - Abiola Mosque, Off Alafara Road, Ologuneru,",,"₦3,000avg/night",
Dacamca Hotel ,"Owode, Oyo - Behind Premier Tobacco ",RestaurantBar,"₦2,200avg/night",
Olugbon Hotels,"Ogbomosho, Oyo - Ikoyi Road, Ogbomosho, Oyo State",RestaurantBar,"₦4,000avg/night",
Oniadex Guest House,"Ibadan, Oyo - Oniadex Bus Stop, Oojere Junction Opposite Ayo C&S...",,"₦2,000avg/night",
Leisure Land Guest House,"Ibadan, Oyo - 6, Alaafin Avenue, Oluyole Estate, Ring Road, Ibad...",Restaurant,"₦3,000avg/night",2.8 FairFrom 1 review
Adent Hotel And Event,"Ibadan, Oyo - 4, Nasarawa Street, Ire-akari Estate, Close To The...",,"₦6,500avg/night",
Richland Hotel Limited,"Ibadan, Oyo - N4/536 Temetu Aladorun, Ibadan",Bar,"₦6,490avg/night",
"The Nest Hotel, Ogbomosho","Ogbomosho, Oyo - Along Ogbomosho-Ilorin Road, Beside Cocacola",InternetRestaurantPoolBarGym,"₦7,000avg/night",6.9 Very GoodFrom 3 reviews
Ragaray Executive Suites ,"Ogbomosho, Oyo - Ragaray Executive Suites, Stadium Road, Isale Gene...",InternetRestaurantBar,"₦8,750avg/night",10.0 ExcellentFrom 2 reviews
Ogun-Osun Guest House,"Ibadan, Oyo - Hospital Ring Road",Restaurant,"₦5,500avg/night",10.0 ExcellentFrom 1 review
First Laurel Hotel & Suites,"Ibadan, Oyo - Soka Bus Stop, Along Idi-Mango, Lagos-Ibadan Expre...",Bar,"₦5,000avg/night",3.6 FairFrom 1 review
JOSIAH INN & OLASOJI HALL AND HOTEL,"Ibadan , Oyo - Opposite NISER, U.I. To Ojoo Road, Ibadan",InternetRestaurantBar,"₦13,500avg/night",6.6 Very GoodFrom 2 reviews
Cosmos City Suites & Apartments,", Oyo - Ajibode Primary School Road, Ajibode, U.I, Ibadan",InternetRestaurantPoolBarGym,"₦14,250avg/night",9.2 ExcellentFrom 1 review
J.Royal Hotel,"Ibadan , Oyo - Old Oyo Road, After Road Safety Office, Moniya, Ib...",RestaurantBar,"₦5,500avg/night",
Bed And Breakfast Hotel,"Ibadan , Oyo - Plot 6 Ogundele Layout, Ojoo",Bar,"₦5,000avg/night",
Gentlemen Quintessential Suites,"Ibadan, Oyo - 26, Adebayo Street, Idi Ito Bus Stop, Sango Eleyel...",RestaurantBar,"₦4,500avg/night",
Harry's Event And Suites,"Ibadan, Oyo - No. 48 New Adeoyo Hospital Road, Opp. Redeem Chris...",Internet,"₦10,000avg/night",
Roar River Guest House ,"Ibadan, Oyo - 1, Olode Road, Adegbayi, Ibadan",,"₦2,500avg/night",
Good Lodge Guests House ,"Ibadan , Oyo - 22 Fadayiya Street Off Custom Headquarters, Ikolab...",,"₦1,850avg/night",
U.I. Hotel,"Ibadan, Oyo - University Of Ibadan, Agbowo, Ibadan North, Oyo ",InternetRestaurantBar,"₦12,300avg/night",8.3 ExcellentFrom 6 reviews
Fortune Exclusive Hotel,"Ibadan, Oyo - New Garage- Apata Expressway",Bar,"₦5,000avg/night",
Alliance West African Hotel,"Oyo Town, Oyo - New Akeetan Layout, Oyo Town",Bar,"₦1,500avg/night",
Muajas Hotel,"Ibadan, Oyo - 11 Opawale Street, Aba Ode, Alakia, Ibadan",,"₦6,000avg/night",2.0 FairFrom 1 review
BETHY HOTEL," Oyo Town, Oyo - Awe, Off Iwo Road,",,"₦7,500avg/night",
Baynikol Guest House,"Oyo, Oyo - Opp.community Commercial Grammar School Along Jare...",RestaurantBar,"₦4,000avg/night",
