Name,Address,Facilities,Avg_price_per_night,Rating
Shagalinku Guest Inn,"Zaria, Kaduna - 2 Tukur-tukur By Barewa Junction ",,"₦9,000avg/night",
Mozen Garden Hotels,"Kaduna, Kaduna - 7 Chanchai Road Angwanboro Kaduna South Opposite R...",,"₦2,500avg/night",
Crocodile Hotel,"Kaduna North, Kaduna - 7B Kanta Road",InternetRestaurant,"₦50,000avg/night",6.8 Very GoodFrom 7 reviews
Regview Restland Ltd,"Kaduna, Kaduna - No. 4 Kachia Road By Command Bus Stop",,"₦10,530avg/night",
De-Eminent Hotel,"Kaduna South, Kaduna - Plot 30/32 Soba Road High Cost Barnawa.",,"₦4,200avg/night",
Joclarif Hotel And Suites,", Kaduna - Yankarfe Graceland, Zaria",RestaurantPoolBarGym,"₦7,500avg/night",
Kenbus Hotel,"Kaduna North, Kaduna - 3 National Eye Center Road New Afaka GRA, Mando ",RestaurantBar,"₦3,000avg/night",5.2 GoodFrom 1 review
Wusili Tourist Hotels Limited,"Kaduna, Kaduna - 4 Ziiti Wilson College Road Sabon Tasha ",,"₦5,000avg/night",
Perfect Delight Hotel,"Kaduna, Kaduna - Mandela Avenue, Off Feroro Road After Valid Oil Pe...",RestaurantBar,"₦4,800avg/night",
Royal Tropicana Suites,"Kaduna North, Kaduna - No. 72 A&B Isa Kaita Road, Kaduna",InternetRestaurantBarGym,"₦10,000avg/night",7.0 Very GoodFrom 4 reviews
Christolight Guest Inn,"Zaria, Kaduna - 27 Warri Street Sabon-Gari",,"₦1,000avg/night",8.8 ExcellentFrom 1 review
Grand Ibro Hotel,"Wuse, Abuja - 2121 Micheal Okpara Road Opposite Shelter Plaza",InternetRestaurantPool,"₦13,000avg/night",7.5 Very GoodFrom 150 reviews
Power Mike Hotels ,"Garki, Abuja - 9 Argungu Close , Off Benue Cresent, Area 1, Garki",RestaurantBar,"₦13,500avg/night",7.3 Very GoodFrom 32 reviews
New Rendezvous Hotel,"Wuse 6, Abuja - 21, Plot 188, Makeni Street, Zone 6",RestaurantBar,"₦6,000avg/night",5.8 GoodFrom 43 reviews
Summit Villas Suites ,"Gwarinpa, Abuja -  Life Camp Junction, Opposite AP Filling Station ",InternetPoolBarGym,"₦8,400avg/night",6.5 Very GoodFrom 34 reviews
Orient Hotel,"Wuse, Abuja - 12 Sudan Street",Bar,"₦9,000avg/night",7.4 Very GoodFrom 43 reviews
